id,mode,format,prompt,choice_a,choice_b,choice_c,choice_d,correct,estimate_answer,estimate_unit,estimate_tolerance,category,tags,difficulty,weight,source,license,attribution,notes,active
estimate-absurd-002,estimate,multi,How many end-to-end 6-inch hot dogs fit along 100 yards?,600,100,"1,200",360,600,,,,absurd,"absurd, math",medium,1,original,CC0,Arithmetic — 100 yards = 3600 inches; 3600 / 6 = 600 (assumption stated in prompt),Was free-number estimate; converted to MC,true
opentdb-general-001,fact,multi,Which of the following blood component forms a plug at the site of injuries?,Platelets,Red blood cells,Blood plasma,White blood cells,Platelets,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-002,fact,multi,Gouda cheese is from which European country?,Belgium,Germany,The Netherlands,France,The Netherlands,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-003,fact,multi,Which language is most widely spoken in Switzerland?,Italian,German,Swiss,French,German,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-004,fact,multi,Which sign of the zodiac is represented by the Crab?,Libra,Cancer,Virgo,Sagittarius,Cancer,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-005,fact,multi,What technology is named after a tenth-century ruler of Denmark and Norway?,Bluetooth,GPS,Wi-Fi,Internet,Bluetooth,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-006,fact,multi,"Out of these four buildings, which one is the tallest, with a height of 1,483 ft (451.9 m)?","Trump Intl. Hotel & Tower, United States","Petronas Twin Towers, Malaysia","Zifeng Tower, China","Al Hamra Tower, Kuwait","Petronas Twin Towers, Malaysia",,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-007,fact,multi,"According to the nursery rhyme, what fruit did Little Jack Horner pull out of his Christmas pie?",Apple,Plum,Peach,Pear,Plum,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-008,fact,multi,Which restaurant's mascot is a clown?,Sonic,Whataburger,McDonald's,Burger King,McDonald's,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-009,fact,multi,The architect known as Le Corbusier was an important figure in what style of architecture?,Gothic Revival,Neoclassical,Modernism,Baroque,Modernism,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-010,fact,multi,Which candy is NOT made by Mars?,Almond Joy,M&M's,Snickers,Twix,Almond Joy,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-011,fact,multi,What is the largest living species of penguin?,Adele,Gentoo,King,Emperor,Emperor,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-012,fact,multi,"Going by the International Code of Signals, which single flag is interpreted as ""I require assistance (not distress)""?",Papa,Victor,Delta,Kilo,Victor,,,,general,"opentdb, general",hard,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-013,fact,multi,In DC comics where does the Green Arrow (Oliver Queen) live?,Star City,Central City,Metropolis,Gotham City,Star City,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-014,fact,multi,Earl Grey tea is black tea flavoured with what?,Lavender,Bergamot oil,Honey,Vanilla,Bergamot oil,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-015,fact,multi,Which mountain has the highest peak in South America?,"Aconcagua, Argentina","Monte Pissis, Argentina","Ojos del Salado, Argentina/Chile border","Huascarán, Peru","Aconcagua, Argentina",,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-016,fact,multi,Which essential condiment is also known as Japanese horseradish?,Karashi,Mentsuyu,Wasabi,Ponzu,Wasabi,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-017,fact,multi,This field is sometimes known as “The Dismal Science.”,Physics,Politics,Philosophy,Economics,Economics,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-018,fact,multi,Which type of cutlery is most suited for eating soup?,Fork,Chopsticks,Spoon,Knife,Spoon,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-019,fact,multi,Which of these colours is NOT featured in the logo for Google?,Pink,Green,Yellow,Blue,Pink,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-020,fact,multi,What is the name of the alcoholic beverage made from potatoes or grains that originates from Poland and Russia?,Sake,Vodka,Absinthe,Rum,Vodka,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-021,fact,multi,"The Mexican Beer ""Corona"" is what type of beer?",Baltic Porter,Pale Lager,India Pale Ale,Pilfsner,Pale Lager,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-022,fact,multi,What airline was the owner of the plane that crashed off the coast of Nova Scotia in 1998?,TWA,British Airways,Swiss Air,Air France,Swiss Air,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-023,fact,multi,Which of the following is not an Ivy League University?,Harvard,Princeton,Stanford,University of Pennsylvania,Stanford,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-024,fact,multi,Which Italian automobile manufacturer gained majority control of U.S. automobile manufacturer Chrysler in 2011?,Maserati,Ferrari,Fiat,Alfa Romeo,Fiat,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-025,fact,multi,"In linguistics, which of the following is not one of the Gricean Maxims under the Cooperative Principal?",Manner,Relation,Quality,Length,Length,,,,general,"opentdb, general",hard,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-026,fact,multi,Frank Lloyd Wright was the architect behind what famous building?,Sydney Opera House,Villa Savoye,The Space Needle,The Guggenheim,The Guggenheim,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-027,fact,multi,Which of the following presidents is not on Mount Rushmore?,Thomas Jefferson,John F. Kennedy,Abraham Lincoln,Theodore Roosevelt,John F. Kennedy,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-028,fact,multi,Amsterdam Centraal station is twinned with what station?,London Liverpool Street,Paris Gare du Nord,Brussels Midi,Frankfurt (Main) Hauptbahnhof,London Liverpool Street,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-029,fact,multi,What year was Apple Inc. founded?,1980,1974,1978,1976,1976,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-030,fact,multi,What was the first ever London Underground line to be built?,Bakerloo Line,Metropolitan Line,Victoria Line,Circle Line,Metropolitan Line,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-031,fact,multi,Which river flows through the Scottish city of Glasgow?,Tweed,Dee,Clyde,Tay,Clyde,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-032,fact,multi,Red Vines is a brand of what type of candy?,Chocolate,Licorice,Bubblegum,Lollipop,Licorice,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-033,fact,multi,Which of these cities does NOT have a United States Minting location?,"Philidelphia, PA","West Point, NY","St. Louis, MO","San Fransisco, CA","St. Louis, MO",,,,general,"opentdb, general",hard,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-034,fact,multi,"Which famed architect, who died in 2019 aged 102, designed the glass pyramid at the Louvre museum in Paris?",Pascale Guédot,I. M. Pei,Wang Shu,Frank Gehry,I. M. Pei,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-035,fact,multi,"According to the Book of Genesis in the Old Testament, how many days did it take God to create the world?",Seven,Six,One,Twelve,Six,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-036,fact,multi,"What is the romanized Arabic word for ""moon""?",Qamar,Shams,Kawkab,Najma,Qamar,,,,general,"opentdb, general",hard,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-037,fact,multi,"Before the 19th Century, the ""Living Room"" was originally called the...",Sitting Room,Loft,Open Room,Parlor,Parlor,,,,general,"opentdb, general",hard,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-038,fact,multi,What was Bank of America originally established as?,Bank of Pennsylvania,Bank of Charlotte,Bank of Italy,Bank of Long Island,Bank of Italy,,,,general,"opentdb, general",hard,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-039,fact,multi,Which of the following buildings is example of a structure primarily built in the Art Deco architectural style?,Niagara Mohawk Building,Taipei 101,Westendstrasse 1,One Detroit Center,Niagara Mohawk Building,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-040,fact,multi,"In ancient Greece, if your job were a ""hippeus"" which of these would you own?",Boat,Guitar,Weave,Horse,Horse,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-041,fact,multi,What was the name given to Japanese military dictators who ruled the country through the 12th and 19th Century?,Shogun,Ninja,Shinobi,Samurai,Shogun,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-042,fact,multi,Death Valley's Badwater Basin is North America's point of lowest elevation at how many feet below sea level?,79 feet,282 feet,"1,640 feet","12,092 feet",282 feet,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-043,fact,multi,The “fairy” type made it’s debut in which generation of the Pokemon core series games?,7th,4th,6th,2nd,6th,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-044,fact,multi,Disney's Haunted Mansion is home to a trio of Hitchhiking Ghosts. Which of these is NOT one of them?,Ezra,Phineas,Gus,Harry,Harry,,,,general,"opentdb, general",hard,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-045,fact,multi,Which of these Indian languages is not part of the Indo-European language family?,Tamil,Hindi,Urdu,Punjabi,Tamil,,,,general,"opentdb, general",hard,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-046,fact,multi,What fast food chain has the most locations globally?,KFC,McDonalds,Starbucks,Subway,Subway,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-047,fact,multi,"On average, Americans consume 100 pounds of what per second?",Donuts,Chocolate,Cocaine,Potatoes,Chocolate,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-048,fact,multi,What is the closest planet to our solar system's sun?,Jupiter,Mars,Mercury,Earth,Mercury,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-049,fact,multi,What was the destination of the missing flight MH370?,Tokyo,Kuala Lumpur,Beijing,Singapore,Beijing,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-050,fact,multi,"The word ""dozen"" usually refers to a group of how many objects?",6,20,12,10,12,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-051,fact,multi,What is the name of the extra pedal on a manual or standard transmission car?,Shifter,Booster,Parking Brake,Clutch,Clutch,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-052,fact,multi,What is the highest number of Michelin stars a restaurant can receive?,Three,Four,Five,Six,Three,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-053,fact,multi,Who is the youngest person to receive a Nobel Prize?,Werner Heisenberg,Lawrence Bragg,Malala Yousafzai,Yasser Arafat,Malala Yousafzai,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-054,fact,multi,"Originally another word for poppy, coquelicot is a shade of what?",Green,Blue,Red,Pink,Red,,,,general,"opentdb, general",hard,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-055,fact,multi,"According to the United States' CDC, one in how many Americans die annually due to smoking?",One hundred,Ten,Five,Twenty,Five,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-056,fact,multi,How many notes are there on a standard grand piano?,78,108,98,88,88,,,,general,"opentdb, general",hard,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-057,fact,multi,"In ""Shrek"", what comedic actor voices Donkey?",Richard Pryor,Chris Rock,Bernie Mac,Eddie Murphy,Eddie Murphy,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-058,fact,multi,"Located in Chile, El Teniente is the world's largest underground mine for what metal?",Nickel,Iron,Silver,Copper,Copper,,,,general,"opentdb, general",hard,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-059,fact,multi,What step in cellular respiration forms ATP?,Pyruvate Oxidation,Glycolysis,Oxidative Phosphorylation,Calvin Cycle,Oxidative Phosphorylation,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-060,fact,multi,What are the three starter Pokemon available in Pokemon Black and White?,"Chespin, Fennekin, Oshawott","Chespin, Tepig, Froakie","Snivy, Fennekin, Froakie","Snivy, Tepig, Oshawott","Snivy, Tepig, Oshawott",,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-061,fact,multi,"The word ""astasia"" means which of the following?",The inability to concentrate on anything,A feverish desire to rip one's clothes off,The inability to stand up,The inability to make decisions,The inability to stand up,,,,general,"opentdb, general",hard,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-062,fact,multi,Foie gras is a French delicacy typically made from what part of a duck or goose?,Stomach,Heart,Liver,Intestines,Liver,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-063,fact,multi,"What is the Portuguese word for ""Brazil""?",Brazil,Brasilia,Brasíl,Brasil,Brasil,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-064,fact,multi,"What country has had prime ministers named Eden, Major, Peel, Law, Brown and Heath?",New Zealand,Australia,Canada,United Kingdom,United Kingdom,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-065,fact,multi,What is a dead mall?,A mall with no stores,A mall after business hours,A mall with high vacancy rates or low consumer foot traffic,A mall that has been condemed,A mall with high vacancy rates or low consumer foot traffic,,,,general,"opentdb, general",medium,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-066,fact,multi,In what year did Canada stop producing the penny?,2012,2013,2010,2011,2012,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
opentdb-general-067,fact,multi,What is the Zodiac symbol for Gemini?,Maiden,Twins,Fish,Scales,Twins,,,,general,"opentdb, general",easy,1,opentdb,CC BY-SA 4.0,Open Trivia DB (https://opentdb.com/) — CC BY-SA 4.0,OTDB category: General Knowledge,true
